accession_id,latitude,longitude,taxon,trait_descriptor,trait_sub_descriptor,trait_observation_value,trait_is_nominal
PI 353199,15.87,74.4,Vigna unguiculata,Population,Q1,0.001,false
PI 353199,15.87,74.4,Vigna unguiculata,Population,Q2,0.433,false
PI 353199,15.87,74.4,Vigna unguiculata,Population,Q3,0.133,false
PI 353199,15.87,74.4,Vigna unguiculata,Population,Q4,0.433,false
PI 220850,36.7,67.1,Vigna unguiculata,Population,Q1,0.1255,false
PI 220850,36.7,67.1,Vigna unguiculata,Population,Q2,0.4266,false
PI 220850,36.7,67.1,Vigna unguiculata,Population,Q3,0.1751,false
PI 220850,36.7,67.1,Vigna unguiculata,Population,Q4,0.2727,false
PI 353278,13.04,77.68,Vigna unguiculata,Population,Q1,0.2262,false
PI 353278,13.04,77.68,Vigna unguiculata,Population,Q2,0.3969,false
PI 353278,13.04,77.68,Vigna unguiculata,Population,Q3,0.148,false
PI 353278,13.04,77.68,Vigna unguiculata,Population,Q4,0.2288,false
PI 582567,20.59,78.96,Vigna unguiculata,Population,Q1,0.2718,false
PI 582567,20.59,78.96,Vigna unguiculata,Population,Q2,0.3419,false
PI 582567,20.59,78.96,Vigna unguiculata,Population,Q3,0.1429,false
PI 582567,20.59,78.96,Vigna unguiculata,Population,Q4,0.2434,false
PI 175332,29.97,77.58,Vigna unguiculata,Population,Q1,0.001,false
PI 175332,29.97,77.58,Vigna unguiculata,Population,Q2,0.3231,false
PI 175332,29.97,77.58,Vigna unguiculata,Population,Q3,0.0178,false
PI 175332,29.97,77.58,Vigna unguiculata,Population,Q4,0.6581,false
PI 180355,24.59,72.72,Vigna unguiculata,Population,Q1,0.1942,false
PI 180355,24.59,72.72,Vigna unguiculata,Population,Q2,0.1312,false
PI 180355,24.59,72.72,Vigna unguiculata,Population,Q3,0.2414,false
PI 180355,24.59,72.72,Vigna unguiculata,Population,Q4,0.4332,false
PI 166146,20.59,78.96,Vigna unguiculata,Population,Q1,0.3459,false
PI 166146,20.59,78.96,Vigna unguiculata,Population,Q2,0.1292,false
PI 166146,20.59,78.96,Vigna unguiculata,Population,Q3,0.4293,false
PI 166146,20.59,78.96,Vigna unguiculata,Population,Q4,0.0956,false
PI 165486,26.83,80.9,Vigna unguiculata,Population,Q1,0.0014,false
PI 165486,26.83,80.9,Vigna unguiculata,Population,Q2,0.1048,false
PI 165486,26.83,80.9,Vigna unguiculata,Population,Q3,0.194,false
PI 165486,26.83,80.9,Vigna unguiculata,Population,Q4,0.6998,false
PI 354687,,,Vigna unguiculata,Population,Q1,0.9078,false
PI 354687,,,Vigna unguiculata,Population,Q2,0.0816,false
PI 354687,,,Vigna unguiculata,Population,Q3,0.0044,false
PI 354687,,,Vigna unguiculata,Population,Q4,0.0062,false
PI 183363,20.59,78.96,Vigna unguiculata,Population,Q1,0.5606,false
PI 183363,20.59,78.96,Vigna unguiculata,Population,Q2,0.035,false
PI 183363,20.59,78.96,Vigna unguiculata,Population,Q3,0.4008,false
PI 183363,20.59,78.96,Vigna unguiculata,Population,Q4,0.0036,false
PI 214354,30.92,74.6,Vigna unguiculata,Population,Q1,0.8722,false
PI 214354,30.92,74.6,Vigna unguiculata,Population,Q2,0.0058,false
PI 214354,30.92,74.6,Vigna unguiculata,Population,Q3,0.1204,false
PI 214354,30.92,74.6,Vigna unguiculata,Population,Q4,0.0016,false
PI 354524,,,Vigna unguiculata,Population,Q1,0.7855,false
PI 354524,,,Vigna unguiculata,Population,Q2,0.0056,false
PI 354524,,,Vigna unguiculata,Population,Q3,0.1987,false
PI 354524,,,Vigna unguiculata,Population,Q4,0.0102,false
PI 353125,20.59,78.96,Vigna unguiculata,Population,Q1,0.5452,false
PI 353125,20.59,78.96,Vigna unguiculata,Population,Q2,0.004,false
PI 353125,20.59,78.96,Vigna unguiculata,Population,Q3,0.0742,false
PI 353125,20.59,78.96,Vigna unguiculata,Population,Q4,0.3766,false
PI 353001,8.5,76.95,Vigna unguiculata,Population,Q1,0.9608,false
PI 353001,8.5,76.95,Vigna unguiculata,Population,Q2,0.0028,false
PI 353001,8.5,76.95,Vigna unguiculata,Population,Q3,0.0354,false
PI 353001,8.5,76.95,Vigna unguiculata,Population,Q4,0.001,false
PI 582565,20.59,78.96,Vigna unguiculata,Population,Q1,0.001,false
PI 582565,20.59,78.96,Vigna unguiculata,Population,Q2,0.0026,false
PI 582565,20.59,78.96,Vigna unguiculata,Population,Q3,0.0052,false
PI 582565,20.59,78.96,Vigna unguiculata,Population,Q4,0.9912,false
PI 163142,31.15,75.34,Vigna unguiculata,Population,Q1,0.6036,false
PI 163142,31.15,75.34,Vigna unguiculata,Population,Q2,0.001,false
PI 163142,31.15,75.34,Vigna unguiculata,Population,Q3,0.3948,false
PI 163142,31.15,75.34,Vigna unguiculata,Population,Q4,0.0006,false
PI 354466,,,Vigna unguiculata,Population,Q1,0.7033,false
PI 354466,,,Vigna unguiculata,Population,Q2,0.001,false
PI 354466,,,Vigna unguiculata,Population,Q3,0.2947,false
PI 354466,,,Vigna unguiculata,Population,Q4,0.001,false
PI 582566,20.59,78.96,Vigna unguiculata,Population,Q1,0.0592,false
PI 582566,20.59,78.96,Vigna unguiculata,Population,Q2,0.001,false
PI 582566,20.59,78.96,Vigna unguiculata,Population,Q3,0.0486,false
PI 582566,20.59,78.96,Vigna unguiculata,Population,Q4,0.8913,false
PI 339563,-25.27,133.78,Vigna unguiculata,Population,Q1,0.6457,false
PI 339563,-25.27,133.78,Vigna unguiculata,Population,Q2,0.048,false
PI 339563,-25.27,133.78,Vigna unguiculata,Population,Q3,0.2252,false
PI 339563,-25.27,133.78,Vigna unguiculata,Population,Q4,0.0811,false
PI 277786,,,Vigna unguiculata,Population,Q1,0.5563,false
PI 277786,,,Vigna unguiculata,Population,Q2,0.0322,false
PI 277786,,,Vigna unguiculata,Population,Q3,0.2458,false
PI 277786,,,Vigna unguiculata,Population,Q4,0.1657,false
PI 610516,41.87,12.57,Vigna unguiculata,Population,Q1,0.985,false
PI 610516,41.87,12.57,Vigna unguiculata,Population,Q2,0.0022,false
PI 610516,41.87,12.57,Vigna unguiculata,Population,Q3,0.0118,false
PI 610516,41.87,12.57,Vigna unguiculata,Population,Q4,0.001,false
PI 610620,41.87,12.57,Vigna unguiculata,Population,Q1,0.9382,false
PI 610620,41.87,12.57,Vigna unguiculata,Population,Q2,0.0428,false
PI 610620,41.87,12.57,Vigna unguiculata,Population,Q3,0.0176,false
PI 610620,41.87,12.57,Vigna unguiculata,Population,Q4,0.0014,false
PI 610520,41.87,12.57,Vigna unguiculata,Population,Q1,0.8882,false
PI 610520,41.87,12.57,Vigna unguiculata,Population,Q2,0.0046,false
PI 610520,41.87,12.57,Vigna unguiculata,Population,Q3,0.106,false
PI 610520,41.87,12.57,Vigna unguiculata,Population,Q4,0.0012,false
PI 610533,41.87,12.57,Vigna unguiculata,Population,Q1,0.4754,false
PI 610533,41.87,12.57,Vigna unguiculata,Population,Q2,0.0088,false
PI 610533,41.87,12.57,Vigna unguiculata,Population,Q3,0.0258,false
PI 610533,41.87,12.57,Vigna unguiculata,Population,Q4,0.49,false
PI 610604,41.87,12.57,Vigna unguiculata,Population,Q1,0.2071,false
PI 610604,41.87,12.57,Vigna unguiculata,Population,Q2,0.1297,false
PI 610604,41.87,12.57,Vigna unguiculata,Population,Q3,0.4704,false
PI 610604,41.87,12.57,Vigna unguiculata,Population,Q4,0.1928,false
PI 253428,38.27,-0.68,Vigna unguiculata,Population,Q1,0.0022,false
PI 253428,38.27,-0.68,Vigna unguiculata,Population,Q2,0.2076,false
PI 253428,38.27,-0.68,Vigna unguiculata,Population,Q3,0.2349,false
PI 253428,38.27,-0.68,Vigna unguiculata,Population,Q4,0.5553,false
PI 610621,41.87,12.57,Vigna unguiculata,Population,Q1,0,false
PI 610621,41.87,12.57,Vigna unguiculata,Population,Q2,0.001,false
PI 610621,41.87,12.57,Vigna unguiculata,Population,Q3,0.0006,false
PI 610621,41.87,12.57,Vigna unguiculata,Population,Q4,0.9984,false
PI 339609,-6.37,34.89,Vigna unguiculata,Population,Q1,0.9742,false
PI 339609,-6.37,34.89,Vigna unguiculata,Population,Q2,0.0222,false
PI 339609,-6.37,34.89,Vigna unguiculata,Population,Q3,0.0026,false
PI 339609,-6.37,34.89,Vigna unguiculata,Population,Q4,0.001,false
PI 339613,-6.37,34.89,Vigna unguiculata,Population,Q1,0.8727,false
PI 339613,-6.37,34.89,Vigna unguiculata,Population,Q2,0.0016,false
PI 339613,-6.37,34.89,Vigna unguiculata,Population,Q3,0.1247,false
PI 339613,-6.37,34.89,Vigna unguiculata,Population,Q4,0.001,false
PI 582554,-0.02,37.91,Vigna unguiculata,Population,Q1,0.825,false
PI 582554,-0.02,37.91,Vigna unguiculata,Population,Q2,0.0028,false
PI 582554,-0.02,37.91,Vigna unguiculata,Population,Q3,0.1258,false
PI 582554,-0.02,37.91,Vigna unguiculata,Population,Q4,0.0464,false
PI 582793,-0.02,37.91,Vigna unguiculata,Population,Q1,0.8073,false
PI 582793,-0.02,37.91,Vigna unguiculata,Population,Q2,0.105,false
PI 582793,-0.02,37.91,Vigna unguiculata,Population,Q3,0.0126,false
PI 582793,-0.02,37.91,Vigna unguiculata,Population,Q4,0.075,false
PI 339610,-6.37,34.89,Vigna unguiculata,Population,Q1,0.7764,false
PI 339610,-6.37,34.89,Vigna unguiculata,Population,Q2,0.002,false
PI 339610,-6.37,34.89,Vigna unguiculata,Population,Q3,0.2206,false
PI 339610,-6.37,34.89,Vigna unguiculata,Population,Q4,0.001,false
PI 582579,-0.02,37.91,Vigna unguiculata,Population,Q1,0.6532,false
PI 582579,-0.02,37.91,Vigna unguiculata,Population,Q2,0.0348,false
PI 582579,-0.02,37.91,Vigna unguiculata,Population,Q3,0.2135,false
PI 582579,-0.02,37.91,Vigna unguiculata,Population,Q4,0.0984,false
PI 582576,-0.02,37.91,Vigna unguiculata,Population,Q1,0.6198,false
PI 582576,-0.02,37.91,Vigna unguiculata,Population,Q2,0.0012,false
PI 582576,-0.02,37.91,Vigna unguiculata,Population,Q3,0.0042,false
PI 582576,-0.02,37.91,Vigna unguiculata,Population,Q4,0.3747,false
PI 582785,-0.02,37.91,Vigna unguiculata,Population,Q1,0.5681,false
PI 582785,-0.02,37.91,Vigna unguiculata,Population,Q2,0.2039,false
PI 582785,-0.02,37.91,Vigna unguiculata,Population,Q3,0.1524,false
PI 582785,-0.02,37.91,Vigna unguiculata,Population,Q4,0.0756,false
PI 582578,-0.02,37.91,Vigna unguiculata,Population,Q1,0.5561,false
PI 582578,-0.02,37.91,Vigna unguiculata,Population,Q2,0.0364,false
PI 582578,-0.02,37.91,Vigna unguiculata,Population,Q3,0.3041,false
PI 582578,-0.02,37.91,Vigna unguiculata,Population,Q4,0.1034,false
PI 406365,6.8,38.45,Vigna unguiculata,Population,Q1,0.4413,false
PI 406365,6.8,38.45,Vigna unguiculata,Population,Q2,0.2658,false
PI 406365,6.8,38.45,Vigna unguiculata,Population,Q3,0.1056,false
PI 406365,6.8,38.45,Vigna unguiculata,Population,Q4,0.1874,false
PI 189230,4.3,15.3,Vigna unguiculata,Population,Q1,0.4043,false
PI 189230,4.3,15.3,Vigna unguiculata,Population,Q2,0.0032,false
PI 189230,4.3,15.3,Vigna unguiculata,Population,Q3,0.2649,false
PI 189230,4.3,15.3,Vigna unguiculata,Population,Q4,0.3276,false
PI 582931,-13.25,34.3,Vigna unguiculata,Population,Q1,0.1075,false
PI 582931,-13.25,34.3,Vigna unguiculata,Population,Q2,0.0444,false
PI 582931,-13.25,34.3,Vigna unguiculata,Population,Q3,0.0888,false
PI 582931,-13.25,34.3,Vigna unguiculata,Population,Q4,0.7593,false
PI 358307,9.1,35.62,Vigna unguiculata,Population,Q1,0.0166,false
PI 358307,9.1,35.62,Vigna unguiculata,Population,Q2,0.489,false
PI 358307,9.1,35.62,Vigna unguiculata,Population,Q3,0.2618,false
PI 358307,9.1,35.62,Vigna unguiculata,Population,Q4,0.2326,false
PI 582572,-0.02,37.91,Vigna unguiculata,Population,Q1,0.001,false
PI 582572,-0.02,37.91,Vigna unguiculata,Population,Q2,0.8229,false
PI 582572,-0.02,37.91,Vigna unguiculata,Population,Q3,0.0016,false
PI 582572,-0.02,37.91,Vigna unguiculata,Population,Q4,0.1745,false
PI 582820,-22.33,24.68,Vigna unguiculata,Population,Q1,0.0034,false
PI 582820,-22.33,24.68,Vigna unguiculata,Population,Q2,0.2996,false
PI 582820,-22.33,24.68,Vigna unguiculata,Population,Q3,0.3634,false
PI 582820,-22.33,24.68,Vigna unguiculata,Population,Q4,0.3336,false
PI 292912,-30.56,22.94,Vigna unguiculata,Population,Q1,0.01,false
PI 292912,-30.56,22.94,Vigna unguiculata,Population,Q2,0.2394,false
PI 292912,-30.56,22.94,Vigna unguiculata,Population,Q3,0.3402,false
PI 292912,-30.56,22.94,Vigna unguiculata,Population,Q4,0.4104,false
PI 339592,-30.56,22.94,Vigna unguiculata,Population,Q1,0.0114,false
PI 339592,-30.56,22.94,Vigna unguiculata,Population,Q2,0.0932,false
PI 339592,-30.56,22.94,Vigna unguiculata,Population,Q3,0.1974,false
PI 339592,-30.56,22.94,Vigna unguiculata,Population,Q4,0.6979,false
PI 582858,-22.33,24.68,Vigna unguiculata,Population,Q1,0.0684,false
PI 582858,-22.33,24.68,Vigna unguiculata,Population,Q2,0.001,false
PI 582858,-22.33,24.68,Vigna unguiculata,Population,Q3,0.0538,false
PI 582858,-22.33,24.68,Vigna unguiculata,Population,Q4,0.8768,false
PI 582853,-22.33,24.68,Vigna unguiculata,Population,Q1,0.0832,false
PI 582853,-22.33,24.68,Vigna unguiculata,Population,Q2,0.724,false
PI 582853,-22.33,24.68,Vigna unguiculata,Population,Q3,0.0562,false
PI 582853,-22.33,24.68,Vigna unguiculata,Population,Q4,0.1366,false
PI 582878,-22.33,24.68,Vigna unguiculata,Population,Q1,0.1126,false
PI 582878,-22.33,24.68,Vigna unguiculata,Population,Q2,0.1195,false
PI 582878,-22.33,24.68,Vigna unguiculata,Population,Q3,0.261,false
PI 582878,-22.33,24.68,Vigna unguiculata,Population,Q4,0.5069,false
PI 582697,-22.33,24.68,Vigna unguiculata,Population,Q1,0.1346,false
PI 582697,-22.33,24.68,Vigna unguiculata,Population,Q2,0.1918,false
PI 582697,-22.33,24.68,Vigna unguiculata,Population,Q3,0.015,false
PI 582697,-22.33,24.68,Vigna unguiculata,Population,Q4,0.6585,false
PI 339588,-30.56,22.94,Vigna unguiculata,Population,Q1,0.198,false
PI 339588,-30.56,22.94,Vigna unguiculata,Population,Q2,0.1784,false
PI 339588,-30.56,22.94,Vigna unguiculata,Population,Q3,0.3335,false
PI 339588,-30.56,22.94,Vigna unguiculata,Population,Q4,0.2901,false
PI 582825,-22.33,24.68,Vigna unguiculata,Population,Q1,0.1982,false
PI 582825,-22.33,24.68,Vigna unguiculata,Population,Q2,0.221,false
PI 582825,-22.33,24.68,Vigna unguiculata,Population,Q3,0.3716,false
PI 582825,-22.33,24.68,Vigna unguiculata,Population,Q4,0.2092,false
PI 221732,,,Vigna unguiculata,Population,Q1,0.2795,false
PI 221732,,,Vigna unguiculata,Population,Q2,0.131,false
PI 221732,,,Vigna unguiculata,Population,Q3,0.2748,false
PI 221732,,,Vigna unguiculata,Population,Q4,0.3147,false
PI 582729,-22.33,24.68,Vigna unguiculata,Population,Q1,0.4416,false
PI 582729,-22.33,24.68,Vigna unguiculata,Population,Q2,0.1781,false
PI 582729,-22.33,24.68,Vigna unguiculata,Population,Q3,0.3751,false
PI 582729,-22.33,24.68,Vigna unguiculata,Population,Q4,0.0052,false
PI 582867,-22.33,24.68,Vigna unguiculata,Population,Q1,0.4425,false
PI 582867,-22.33,24.68,Vigna unguiculata,Population,Q2,0.2623,false
PI 582867,-22.33,24.68,Vigna unguiculata,Population,Q3,0.2642,false
PI 582867,-22.33,24.68,Vigna unguiculata,Population,Q4,0.031,false
PI 582474,-22.33,24.68,Vigna unguiculata,Population,Q1,0.4574,false
PI 582474,-22.33,24.68,Vigna unguiculata,Population,Q2,0.1455,false
PI 582474,-22.33,24.68,Vigna unguiculata,Population,Q3,0.2295,false
PI 582474,-22.33,24.68,Vigna unguiculata,Population,Q4,0.1676,false
PI 583051,-22.33,24.68,Vigna unguiculata,Population,Q1,0.549,false
PI 583051,-22.33,24.68,Vigna unguiculata,Population,Q2,0.1998,false
PI 583051,-22.33,24.68,Vigna unguiculata,Population,Q3,0.0346,false
PI 583051,-22.33,24.68,Vigna unguiculata,Population,Q4,0.2166,false
PI 527259,-20.42,32.68,Vigna unguiculata,Population,Q1,0.6092,false
