accession_id,latitude,longitude,taxon,trait_descriptor,trait_sub_descriptor,trait_observation_value,trait_is_nominal
PI 337506,-30.05,-51.17,Vigna unguiculata,Population,Q4,0.0572,false
PI 582415,23.63,-102.55,Vigna unguiculata,Population,Q1,0.5866,false
PI 582415,23.63,-102.55,Vigna unguiculata,Population,Q2,0.1556,false
PI 582415,23.63,-102.55,Vigna unguiculata,Population,Q3,0.2367,false
PI 582415,23.63,-102.55,Vigna unguiculata,Population,Q4,0.021,false
PI 304164,14.08,-87.23,Vigna unguiculata,Population,Q1,0.5984,false
PI 304164,14.08,-87.23,Vigna unguiculata,Population,Q2,0.001,false
PI 304164,14.08,-87.23,Vigna unguiculata,Population,Q3,0.3994,false
PI 304164,14.08,-87.23,Vigna unguiculata,Population,Q4,0.0012,false
PI 339709,,,Vigna unguiculata,Population,Q1,0.5994,false
PI 339709,,,Vigna unguiculata,Population,Q2,0.001,false
PI 339709,,,Vigna unguiculata,Population,Q3,0.3986,false
PI 339709,,,Vigna unguiculata,Population,Q4,0.001,false
PI 186386,,,Vigna unguiculata,Population,Q1,0.6292,false
PI 186386,,,Vigna unguiculata,Population,Q2,0.0016,false
PI 186386,,,Vigna unguiculata,Population,Q3,0.368,false
PI 186386,,,Vigna unguiculata,Population,Q4,0.0012,false
PI 582542,23.63,-102.55,Vigna unguiculata,Population,Q1,0.644,false
PI 582542,23.63,-102.55,Vigna unguiculata,Population,Q2,0.0567,false
PI 582542,23.63,-102.55,Vigna unguiculata,Population,Q3,0.2967,false
PI 582542,23.63,-102.55,Vigna unguiculata,Population,Q4,0.0026,false
PI 147561,4.57,-74.3,Vigna unguiculata,Population,Q1,0.6906,false
PI 147561,4.57,-74.3,Vigna unguiculata,Population,Q2,0.0012,false
PI 147561,4.57,-74.3,Vigna unguiculata,Population,Q3,0.3052,false
PI 147561,4.57,-74.3,Vigna unguiculata,Population,Q4,0.003,false
PI 352762,-7.25,-35.83,Vigna unguiculata,Population,Q1,0.7015,false
PI 352762,-7.25,-35.83,Vigna unguiculata,Population,Q2,0.0088,false
PI 352762,-7.25,-35.83,Vigna unguiculata,Population,Q3,0.2499,false
PI 352762,-7.25,-35.83,Vigna unguiculata,Population,Q4,0.0398,false
PI 582949,23.63,-102.55,Vigna unguiculata,Population,Q1,0.8204,false
PI 582949,23.63,-102.55,Vigna unguiculata,Population,Q2,0.0712,false
PI 582949,23.63,-102.55,Vigna unguiculata,Population,Q3,0.1002,false
PI 582949,23.63,-102.55,Vigna unguiculata,Population,Q4,0.0082,false
PI 167024,36.5,36.33,Vigna unguiculata,Population,Q1,0,false
PI 167024,36.5,36.33,Vigna unguiculata,Population,Q2,0.0006,false
PI 167024,36.5,36.33,Vigna unguiculata,Population,Q3,0.0006,false
PI 167024,36.5,36.33,Vigna unguiculata,Population,Q4,0.9988,false
PI 179125,40.5,29.3,Vigna unguiculata,Population,Q1,0,false
PI 179125,40.5,29.3,Vigna unguiculata,Population,Q2,0.001,false
PI 179125,40.5,29.3,Vigna unguiculata,Population,Q3,0.0006,false
PI 179125,40.5,29.3,Vigna unguiculata,Population,Q4,0.9984,false
PI 174411,38.43,38.35,Vigna unguiculata,Population,Q1,0.001,false
PI 174411,38.43,38.35,Vigna unguiculata,Population,Q2,0.006,false
PI 174411,38.43,38.35,Vigna unguiculata,Population,Q3,0.0114,false
PI 174411,38.43,38.35,Vigna unguiculata,Population,Q4,0.9816,false
PI 170869,39.57,27.02,Vigna unguiculata,Population,Q1,0.001,false
PI 170869,39.57,27.02,Vigna unguiculata,Population,Q2,0.0302,false
PI 170869,39.57,27.02,Vigna unguiculata,Population,Q3,0.0602,false
PI 170869,39.57,27.02,Vigna unguiculata,Population,Q4,0.9086,false
PI 205241,38.42,27.17,Vigna unguiculata,Population,Q1,0.5166,false
PI 205241,38.42,27.17,Vigna unguiculata,Population,Q2,0.4664,false
PI 205241,38.42,27.17,Vigna unguiculata,Population,Q3,0.0116,false
PI 205241,38.42,27.17,Vigna unguiculata,Population,Q4,0.0054,false
PI 548784,,,Vigna unguiculata,Population,Q1,0.91,false
PI 548784,,,Vigna unguiculata,Population,Q2,0.0156,false
PI 548784,,,Vigna unguiculata,Population,Q3,0.0732,false
PI 548784,,,Vigna unguiculata,Population,Q4,0.0012,false
PI 194210,,,Vigna unguiculata,Population,Q1,0.5795,false
PI 194210,,,Vigna unguiculata,Population,Q2,0.2252,false
PI 194210,,,Vigna unguiculata,Population,Q3,0.1913,false
PI 194210,,,Vigna unguiculata,Population,Q4,0.004,false
PI 194205,,,Vigna unguiculata,Population,Q1,0.2191,false
PI 194205,,,Vigna unguiculata,Population,Q2,0.0804,false
PI 194205,,,Vigna unguiculata,Population,Q3,0.3239,false
PI 194205,,,Vigna unguiculata,Population,Q4,0.3765,false
PI 599213,,,Vigna unguiculata,Population,Q1,0.2034,false
PI 599213,,,Vigna unguiculata,Population,Q2,0.6353,false
PI 599213,,,Vigna unguiculata,Population,Q3,0.1311,false
PI 599213,,,Vigna unguiculata,Population,Q4,0.0302,false
PI 307561,,,Vigna unguiculata,Population,Q1,0.1058,false
PI 307561,,,Vigna unguiculata,Population,Q2,0.2046,false
PI 307561,,,Vigna unguiculata,Population,Q3,0.2976,false
PI 307561,,,Vigna unguiculata,Population,Q4,0.392,false
PI 293498,37.09,-95.71,Vigna unguiculata,Population,Q1,0.104,false
PI 293498,37.09,-95.71,Vigna unguiculata,Population,Q2,0.0808,false
PI 293498,37.09,-95.71,Vigna unguiculata,Population,Q3,0.171,false
PI 293498,37.09,-95.71,Vigna unguiculata,Population,Q4,0.6441,false
PI 186466,6.67,3.33,Vigna unguiculata,Population,Q1,0.002,false
PI 186466,6.67,3.33,Vigna unguiculata,Population,Q2,0.3274,false
PI 186466,6.67,3.33,Vigna unguiculata,Population,Q3,0.601,false
PI 186466,6.67,3.33,Vigna unguiculata,Population,Q4,0.0696,false
PI 582530,7.95,-1.02,Vigna unguiculata,Population,Q1,0.002,false
PI 582530,7.95,-1.02,Vigna unguiculata,Population,Q2,0.3234,false
PI 582530,7.95,-1.02,Vigna unguiculata,Population,Q3,0.5992,false
PI 582530,7.95,-1.02,Vigna unguiculata,Population,Q4,0.0754,false
PI 583258,14.5,-14.45,Vigna unguiculata,Population,Q1,0.0014,false
PI 583258,14.5,-14.45,Vigna unguiculata,Population,Q2,0.3324,false
PI 583258,14.5,-14.45,Vigna unguiculata,Population,Q3,0.5988,false
PI 583258,14.5,-14.45,Vigna unguiculata,Population,Q4,0.0674,false
PI 582531,7.95,-1.02,Vigna unguiculata,Population,Q1,0.0026,false
PI 582531,7.95,-1.02,Vigna unguiculata,Population,Q2,0.3132,false
PI 582531,7.95,-1.02,Vigna unguiculata,Population,Q3,0.5984,false
PI 582531,7.95,-1.02,Vigna unguiculata,Population,Q4,0.0858,false
PI 255815,,,Vigna unguiculata,Population,Q1,0.0014,false
PI 255815,,,Vigna unguiculata,Population,Q2,0.304,false
PI 255815,,,Vigna unguiculata,Population,Q3,0.593,false
PI 255815,,,Vigna unguiculata,Population,Q4,0.1016,false
PI 255782,,,Vigna unguiculata,Population,Q1,0.0622,false
PI 255782,,,Vigna unguiculata,Population,Q2,0.3488,false
PI 255782,,,Vigna unguiculata,Population,Q3,0.5738,false
PI 255782,,,Vigna unguiculata,Population,Q4,0.0152,false
PI 583229,14.5,-14.45,Vigna unguiculata,Population,Q1,0.0356,false
PI 583229,14.5,-14.45,Vigna unguiculata,Population,Q2,0.2764,false
PI 583229,14.5,-14.45,Vigna unguiculata,Population,Q3,0.4384,false
PI 583229,14.5,-14.45,Vigna unguiculata,Population,Q4,0.2496,false
PI 448499,14.2,8.7,Vigna unguiculata,Population,Q1,0.0014,false
PI 448499,14.2,8.7,Vigna unguiculata,Population,Q2,0.2295,false
PI 448499,14.2,8.7,Vigna unguiculata,Population,Q3,0.4067,false
PI 448499,14.2,8.7,Vigna unguiculata,Population,Q4,0.3625,false
PI 583098,7.37,12.35,Vigna unguiculata,Population,Q1,0.5986,false
PI 583098,7.37,12.35,Vigna unguiculata,Population,Q2,0.001,false
PI 583098,7.37,12.35,Vigna unguiculata,Population,Q3,0.3996,false
PI 583098,7.37,12.35,Vigna unguiculata,Population,Q4,0.0008,false
PI 583235,14.5,-14.45,Vigna unguiculata,Population,Q1,0.6124,false
PI 583235,14.5,-14.45,Vigna unguiculata,Population,Q2,0.0164,false
PI 583235,14.5,-14.45,Vigna unguiculata,Population,Q3,0.3651,false
PI 583235,14.5,-14.45,Vigna unguiculata,Population,Q4,0.0062,false
PI 583263,9.08,8.68,Vigna unguiculata,Population,Q1,0.4105,false
PI 583263,9.08,8.68,Vigna unguiculata,Population,Q2,0.2163,false
PI 583263,9.08,8.68,Vigna unguiculata,Population,Q3,0.3375,false
PI 583263,9.08,8.68,Vigna unguiculata,Population,Q4,0.0356,false
PI 382124,,,Vigna unguiculata,Population,Q1,0.3001,false
PI 382124,,,Vigna unguiculata,Population,Q2,0.3024,false
PI 382124,,,Vigna unguiculata,Population,Q3,0.2563,false
PI 382124,,,Vigna unguiculata,Population,Q4,0.1412,false
PI 583487,14.5,-14.45,Vigna unguiculata,Population,Q1,0.3107,false
PI 583487,14.5,-14.45,Vigna unguiculata,Population,Q2,0.2788,false
PI 583487,14.5,-14.45,Vigna unguiculata,Population,Q3,0.2042,false
PI 583487,14.5,-14.45,Vigna unguiculata,Population,Q4,0.2063,false
PI 582913,14.5,-14.45,Vigna unguiculata,Population,Q1,0.7352,false
PI 582913,14.5,-14.45,Vigna unguiculata,Population,Q2,0.0628,false
PI 582913,14.5,-14.45,Vigna unguiculata,Population,Q3,0.1992,false
PI 582913,14.5,-14.45,Vigna unguiculata,Population,Q4,0.0028,false
PI 406290,,,Vigna unguiculata,Population,Q1,0.5888,false
PI 406290,,,Vigna unguiculata,Population,Q2,0.0246,false
PI 406290,,,Vigna unguiculata,Population,Q3,0.1415,false
PI 406290,,,Vigna unguiculata,Population,Q4,0.2451,false
PI 583190,14.5,-14.45,Vigna unguiculata,Population,Q1,0.8591,false
PI 583190,14.5,-14.45,Vigna unguiculata,Population,Q2,0.001,false
PI 583190,14.5,-14.45,Vigna unguiculata,Population,Q3,0.1395,false
PI 583190,14.5,-14.45,Vigna unguiculata,Population,Q4,0.0004,false
PI 583250,14.5,-14.45,Vigna unguiculata,Population,Q1,0.8528,false
PI 583250,14.5,-14.45,Vigna unguiculata,Population,Q2,0.013,false
PI 583250,14.5,-14.45,Vigna unguiculata,Population,Q3,0.1234,false
PI 583250,14.5,-14.45,Vigna unguiculata,Population,Q4,0.0108,false
PI 583502,9.08,8.68,Vigna unguiculata,Population,Q1,0.1142,false
PI 583502,9.08,8.68,Vigna unguiculata,Population,Q2,0.001,false
PI 583502,9.08,8.68,Vigna unguiculata,Population,Q3,0.085,false
PI 583502,9.08,8.68,Vigna unguiculata,Population,Q4,0.7998,false
PI 583167,7.37,12.35,Vigna unguiculata,Population,Q1,0.0022,false
PI 583167,7.37,12.35,Vigna unguiculata,Population,Q2,0.5417,false
PI 583167,7.37,12.35,Vigna unguiculata,Population,Q3,0.0218,false
PI 583167,7.37,12.35,Vigna unguiculata,Population,Q4,0.4343,false
PI 583195,14.5,-14.45,Vigna unguiculata,Population,Q1,0.9832,false
PI 583195,14.5,-14.45,Vigna unguiculata,Population,Q2,0.0016,false
PI 583195,14.5,-14.45,Vigna unguiculata,Population,Q3,0.0142,false
PI 583195,14.5,-14.45,Vigna unguiculata,Population,Q4,0.001,false
PI 583205,14.5,-14.45,Vigna unguiculata,Population,Q1,0.5705,false
PI 583205,14.5,-14.45,Vigna unguiculata,Population,Q2,0.0966,false
PI 583205,14.5,-14.45,Vigna unguiculata,Population,Q3,0.0134,false
PI 583205,14.5,-14.45,Vigna unguiculata,Population,Q4,0.3195,false
PI 583198,14.5,-14.45,Vigna unguiculata,Population,Q1,0.3757,false
PI 583198,14.5,-14.45,Vigna unguiculata,Population,Q2,0.0538,false
PI 583198,14.5,-14.45,Vigna unguiculata,Population,Q3,0.0096,false
PI 583198,14.5,-14.45,Vigna unguiculata,Population,Q4,0.5609,false
PI 583254,14.5,-14.45,Vigna unguiculata,Population,Q1,0.9944,false
PI 583254,14.5,-14.45,Vigna unguiculata,Population,Q2,0.0012,false
PI 583254,14.5,-14.45,Vigna unguiculata,Population,Q3,0.004,false
PI 583254,14.5,-14.45,Vigna unguiculata,Population,Q4,0.0004,false
PI 583245,14.5,-14.45,Vigna unguiculata,Population,Q1,0.0014,false
PI 583245,14.5,-14.45,Vigna unguiculata,Population,Q2,0.993,false
PI 583245,14.5,-14.45,Vigna unguiculata,Population,Q3,0.0028,false
PI 583245,14.5,-14.45,Vigna unguiculata,Population,Q4,0.0028,false
PI 583225,14.5,-14.45,Vigna unguiculata,Population,Q1,0,false
PI 583225,14.5,-14.45,Vigna unguiculata,Population,Q2,0.0006,false
PI 583225,14.5,-14.45,Vigna unguiculata,Population,Q3,0.0006,false
PI 583225,14.5,-14.45,Vigna unguiculata,Population,Q4,0.9988,false
